name,author,format,book_depository_stars,price,isbn,category,img_paths
The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,9780730324218,Business-Finance-Law,dataset/Business-Finance-Law/0000001.jpg
How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,9781439199190,Business-Finance-Law,dataset/Business-Finance-Law/0000002.jpg
"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,9780141033570,Business-Finance-Law,dataset/Business-Finance-Law/0000003.jpg
Start With Why,Simon Sinek,Paperback,4.0,8.9,9780241958223,Business-Finance-Law,dataset/Business-Finance-Law/0000004.jpg
Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,9781846041242,Business-Finance-Law,dataset/Business-Finance-Law/0000005.jpg
Daring Greatly,Brene Brown,Paperback,4.5,9.6,9780241257401,Business-Finance-Law,dataset/Business-Finance-Law/0000006.jpg
The Intelligent Investor,Benjamin Graham,Paperback,4.0,15.99,9780060555665,Business-Finance-Law,dataset/Business-Finance-Law/0000007.jpg
Dare to Lead,Brene Brown,Paperback,4.0,13.09,9781785042140,Business-Finance-Law,dataset/Business-Finance-Law/0000008.jpg
Mindset - Updated Edition,Carol Dweck,Paperback,4.0,8.6,9781472139955,Business-Finance-Law,dataset/Business-Finance-Law/0000009.jpg
The 4-Hour Work Week,Timothy Ferriss,Paperback,4.0,14.32,9780091929114,Business-Finance-Law,dataset/Business-Finance-Law/0000010.jpg
Rich Dad Poor Dad,Robert T. Kiyosaki,Paperback,4.0,7.34,9781612680194,Business-Finance-Law,dataset/Business-Finance-Law/0000011.jpg
Factfulness,Hans Rosling,Hardback,4.5,11.82,9781473637467,Business-Finance-Law,dataset/Business-Finance-Law/0000012.jpg
influence,Robert B. Cialdini,Paperback,4.0,11.38,9780061241895,Business-Finance-Law,dataset/Business-Finance-Law/0000013.jpg
Never Split the Difference,Chris Voss,Paperback,4.5,7.69,9781847941497,Business-Finance-Law,dataset/Business-Finance-Law/0000014.jpg
Principles,Ray Dalio,Hardback,4.0,18.34,9781501124020,Business-Finance-Law,dataset/Business-Finance-Law/0000015.jpg
Elon Musk,Ashlee Vance,Paperback,4.0,7.61,9780753557525,Business-Finance-Law,dataset/Business-Finance-Law/0000016.jpg
Bad Blood,John Carreyrou,Paperback,4.5,8.4,9781509868087,Business-Finance-Law,dataset/Business-Finance-Law/0000017.jpg
Legacy,James Kerr,Paperback,4.0,9.7,9781472103536,Business-Finance-Law,dataset/Business-Finance-Law/0000018.jpg
The Lean Startup,Eric Ries,Paperback,4.0,11.5,9780670921607,Business-Finance-Law,dataset/Business-Finance-Law/0000019.jpg
StrengthsFinder 2.0,Tom Rath,Hardback,4.0,17.97,9781595620156,Business-Finance-Law,dataset/Business-Finance-Law/0000020.jpg
Who Moved My Cheese,Spencer Johnson,Paperback,4.0,6.15,9780091816971,Business-Finance-Law,dataset/Business-Finance-Law/0000021.jpg
Deep Work,Cal Newport,Paperback,4.0,11.54,9780349411903,Business-Finance-Law,dataset/Business-Finance-Law/0000022.jpg
Shoe Dog,Phil Knight,Paperback,4.5,9.07,9781471146725,Business-Finance-Law,dataset/Business-Finance-Law/0000023.jpg
"Guns, Germs And Steel",Jared Diamond,Paperback,4.0,13.17,9780099302780,Business-Finance-Law,dataset/Business-Finance-Law/0000024.jpg
Zero to One,Blake Masters,Paperback,4.0,9.7,9780753555200,Business-Finance-Law,dataset/Business-Finance-Law/0000025.jpg
The Tipping Point,Malcolm Gladwell,Paperback,4.0,7.55,9780316679077,Business-Finance-Law,dataset/Business-Finance-Law/0000026.jpg
Lean In,Sheryl Sandberg,Paperback,4.0,9.76,9780753541647,Business-Finance-Law,dataset/Business-Finance-Law/0000027.jpg
"Screw It, Let's Do It",Sir Richard Branson,Paperback,4.0,4.15,9780753510995,Business-Finance-Law,dataset/Business-Finance-Law/0000028.jpg
The Richest Man In Babylon,George S. Clason,Paperback,4.5,8.07,9780451205360,Business-Finance-Law,dataset/Business-Finance-Law/0000029.jpg
Tools of Titans,Timothy Ferriss,Paperback,4.0,18.23,9781785041273,Business-Finance-Law,dataset/Business-Finance-Law/0000030.jpg
Mindset,Carol S. Dweck,Paperback,4.0,13.41,9780345472328,Business-Finance-Law,dataset/Business-Finance-Law/0000031.jpg
The Obstacle is the Way,Ryan Holiday,Paperback,4.0,8.86,9781781251492,Business-Finance-Law,dataset/Business-Finance-Law/0000032.jpg
Leaders Eat Last,Simon Sinek,Paperback,4.0,10.62,9780670923175,Business-Finance-Law,dataset/Business-Finance-Law/0000033.jpg
"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,12.92,9780374533557,Business-Finance-Law,dataset/Business-Finance-Law/0000034.jpg
Nudge,Richard H. Thaler,Paperback,4.0,9.73,9780141040011,Business-Finance-Law,dataset/Business-Finance-Law/0000035.jpg
How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,10.01,9780091906818,Business-Finance-Law,dataset/Business-Finance-Law/0000036.jpg
"Crucial Conversations: Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,Paperback,4.0,14.34,9780071771320,Business-Finance-Law,dataset/Business-Finance-Law/0000037.jpg
Think and Grow Rich,Napoleon Hill,Paperback,4.0,9.06,9781604591873,Business-Finance-Law,dataset/Business-Finance-Law/0000038.jpg
